,Pattern,CPR,Encoding,Pattern Complexity,Accuracy,F1Score,Examples,Precision,TH,Recall,Concept,NumExp
164,Double,155.99,Agent,10,57.6,34.16,[ 803  209  295  237 1058],76.39,0.2,22.0,Key,5
165,Double,151.20000000000002,Agent,10,50.4,1.59,[ 803  209  295  237 1058],100.0,0.5,0.8,Key,5
166,Double,238.97,Agent,10,79.6,79.68,[ 558 1342  583  778  577],79.37,0.2,80.0,Orb,5
167,Double,188.47,Agent,10,65.0,49.27,[ 558 1342  583  778  577],89.47,0.5,34.0,Orb,5
168,Triplet,193.78000000000003,Agent,10,66.8,53.89,[556 461 470 504 438],88.18,0.2,38.8,Level Door,5
169,Triplet,123.83,Agent,10,51.0,6.84,[556 461 470 504 438],69.23,0.5,3.6,Level Door,5
170,Triplet,186.32,Agent,10,65.4,55.98,[727 757 834 767 723],76.92,0.2,44.0,Green Door,5
171,Triplet,179.16000000000003,Agent,10,62.8,45.29,[727 757 834 767 723],85.56,0.5,30.8,Green Door,5
172,Triplet,131.76000000000002,Agent,10,53.2,26.41,[1010 1008  960  925  917],61.76,0.2,16.8,Key Door,5
173,Triplet,102.8,Agent,10,50.0,5.3,[1010 1008  960  925  917],50.0,0.5,2.8,Key Door,5
174,Triplet,197.64999999999998,Agent,10,66.8,51.46,[1220 1213 1167 1136 1114],95.65,0.2,35.2,Other Door,5
175,Triplet,172.20000000000002,Agent,10,57.4,25.78,[1220 1213 1167 1136 1114],100.0,0.5,14.8,Other Door,5
176,Triplet,121.19999999999999,Agent,10,51.6,19.33,[ 307  254 1052  839  818],58.0,0.2,11.6,Key,5
177,Triplet,114.19999999999999,Agent,10,50.6,6.79,[ 307  254 1052  839  818],60.0,0.5,3.6,Key,5
178,Triplet,170.55,Agent,10,61.4,47.7,[ 778  199 1341  567 1320],73.95,0.2,35.2,Orb,5
179,Triplet,148.44,Agent,10,55.8,28.01,[ 778  199 1341  567 1320],75.44,0.5,17.2,Orb,5
180,Single,239.67,Agent,10,74.6,79.49,[364 505 595 556 526],66.67,0.2,98.4,Level Door,5
181,Single,249.13,Agent,10,83.4,80.74,[364 505 595 556 526],96.13,0.5,69.6,Level Door,5
182,Single,199.16,Agent,10,54.8,66.96,[763 634 803 784 661],52.76,0.2,91.6,Green Door,5
183,Single,194.85999999999999,Agent,10,66.6,63.62,[763 634 803 784 661],69.86,0.5,58.4,Green Door,5
184,Single,166.98000000000002,Agent,10,51.0,57.09,[ 977  962  878 1019 1078],50.78,0.2,65.2,Key Door,5
185,Single,128.3,Agent,10,52.6,25.24,[ 977  962  878 1019 1078],59.7,0.5,16.0,Key Door,5
186,Single,207.43,Agent,10,64.6,69.85,[1329 1172 1114 1339 1169],60.83,0.2,82.0,Other Door,5
187,Single,175.58999999999997,Agent,10,62.4,46.59,[1329 1172 1114 1339 1169],80.39,0.5,32.8,Other Door,5
188,Single,177.0,Agent,10,54.4,60.28,[1078  270  817  236  306],53.4,0.2,69.2,Key,5
189,Single,154.32000000000002,Agent,10,57.6,40.45,[1078  270  817  236  306],67.92,0.5,28.8,Key,5
190,Single,224.29000000000002,Agent,10,70.0,75.0,[ 779  155 1045  751 1313],64.29,0.2,90.0,Orb,5
191,Single,206.15,Agent,10,70.8,65.07,[ 779  155 1045  751 1313],80.95,0.5,54.4,Orb,5
192,Double,214.32999999999998,Agent,10,72.6,70.41,[408 553 423 374 373],76.53,0.2,65.2,Level Door,5
193,Double,207.14999999999998,Agent,10,70.6,61.01,[408 553 423 374 373],90.55,0.5,46.0,Level Door,5
194,Double,193.3,Agent,10,66.4,62.67,[675 760 765 668 831],70.5,0.2,56.4,Green Door,5
195,Double,170.12,Agent,10,60.6,40.48,[675 760 765 668 831],82.72,0.5,26.8,Green Door,5
196,Double,148.31,Agent,10,55.4,42.67,[ 989  876 1033  864 1066],59.71,0.2,33.2,Key Door,5
197,Double,134.6,Agent,10,52.4,13.14,[ 989  876 1033  864 1066],75.0,0.5,7.2,Key Door,5
198,Double,222.11,Agent,10,75.4,70.92,[1267 1111 1295 1123 1180],86.71,0.2,60.0,Other Door,5
199,Double,194.02999999999997,Agent,10,66.2,51.01,[1267 1111 1295 1123 1180],92.63,0.5,35.2,Other Door,5
200,Double,137.54999999999998,Agent,10,50.8,41.98,[ 340 1083  334  344  290],51.15,0.2,35.6,Key,5
201,Double,104.4,Agent,10,50.0,8.09,[ 340 1083  334  344  290],50.0,0.5,4.4,Key,5
202,Double,236.7,Agent,10,79.4,78.5,[ 555 1320 1007  586 1036],82.1,0.2,75.2,Orb,5
203,Double,184.89,Agent,10,64.0,47.06,[ 555 1320 1007  586 1036],88.89,0.5,32.0,Orb,5
204,Triplet,191.62,Agent,10,66.0,51.71,[465 464 512 424 568],89.22,0.2,36.4,Level Door,5
205,Triplet,192.0,Agent,10,64.0,43.75,[465 464 512 424 568],100.0,0.5,28.0,Level Door,5
206,Triplet,180.93,Agent,10,63.6,48.29,[618 695 729 722 804],83.33,0.2,34.0,Green Door,5
207,Triplet,180.17,Agent,10,63.4,47.86,[618 695 729 722 804],83.17,0.5,33.6,Green Door,5
208,Triplet,139.19,Agent,10,54.2,23.92,[ 883 1082 1054  962 1070],70.59,0.2,14.4,Key Door,5
209,Triplet,136.13,Agent,10,50.8,3.91,[ 883 1082 1054  962 1070],83.33,0.5,2.0,Key Door,5
210,Triplet,185.77,Agent,10,63.8,45.65,[1118 1157 1312 1349 1119],91.57,0.2,30.4,Other Door,5
211,Triplet,155.33999999999997,Agent,10,53.4,13.38,[1118 1157 1312 1349 1119],94.74,0.5,7.2,Other Door,5
