,NumExp,CPR,Concept,F1Score,Pattern,Encoding,Pattern Complexity,Recall,Examples,TH,Accuracy,Precision
144,5,192.31,Level Door,58.23,Double,Agent,10,46.0,[459 355 408 415 370],0.2,67.0,79.31
145,5,192.5,Level Door,47.13,Double,Agent,10,31.2,[459 355 408 415 370],0.5,65.0,96.3
146,5,210.76999999999998,Green Door,70.06,Double,Agent,10,68.8,[650 717 792 797 611],0.2,70.6,71.37
147,5,186.51,Green Door,54.11,Double,Agent,10,40.8,[650 717 792 797 611],0.5,65.4,80.31
148,5,141.15,Key Door,36.06,Double,Agent,10,25.6,[ 874  943 1036  951  958],0.2,54.6,60.95
149,5,132.49,Key Door,19.24,Double,Agent,10,11.2,[ 874  943 1036  951  958],0.5,53.0,68.29
150,5,172.03,Other Door,45.45,Double,Agent,10,32.0,[1196 1131 1253 1284 1289],0.2,61.6,78.43
151,5,157.19,Other Door,18.05,Double,Agent,10,10.0,[1196 1131 1253 1284 1289],0.5,54.6,92.59
152,5,160.94,Key,49.64,Double,Agent,10,41.6,[ 264  280 1088  293 1098],0.2,57.8,61.54
153,5,142.68,Key,32.93,Double,Agent,10,22.0,[ 264  280 1088  293 1098],0.5,55.2,65.48
154,5,226.32999999999998,Orb,74.46,Double,Agent,10,68.8,[ 772 1323  758  555 1339],0.2,76.4,81.13
155,5,186.82,Orb,53.37,Double,Agent,10,39.6,[ 772 1323  758  555 1339],0.5,65.4,81.82
156,5,180.10000000000002,Level Door,59.46,SVM,Agent,10,57.2,[547 571 497 461 440],0.0,61.0,61.9
157,5,188.86,Green Door,61.2,SVM,Agent,10,55.2,[789 693 609 799 748],0.0,65.0,68.66
158,5,204.17,Key Door,68.45,SVM,Agent,10,71.6,[ 988  930  882  855 1077],0.0,67.0,65.57
159,5,188.76,Other Door,61.4,SVM,Agent,10,56.0,[1290 1338 1256 1271 1238],0.0,64.8,67.96
160,5,188.23,Key,63.9,SVM,Agent,10,86.0,[ 841  804  323  204 1053],0.0,51.4,50.83
161,5,217.37,Orb,69.91,SVM,Agent,10,60.4,[1033  780 1300  174 1309],0.0,74.0,82.97
162,5,253.84,Level Door,84.14,Double,Agent,10,79.6,[459 419 487 531 455],0.2,85.0,89.24
163,5,219.31,Level Door,67.18,Double,Agent,10,52.8,[459 419 487 531 455],0.5,74.2,92.31
164,5,180.57,Green Door,57.47,Double,Agent,10,50.0,[730 835 658 668 619],0.2,63.0,67.57
165,5,157.03000000000003,Green Door,30.52,Double,Agent,10,18.8,[730 835 658 668 619],0.5,57.2,81.03
166,5,140.37,Key Door,42.13,Double,Agent,10,34.8,[998 864 916 850 893],0.2,52.2,53.37
167,5,133.67,Key Door,22.59,Double,Agent,10,13.6,[998 864 916 850 893],0.5,53.4,66.67
168,5,221.75,Other Door,68.67,Double,Agent,10,54.8,[1347 1126 1101 1211 1190],0.2,75.0,91.95
169,5,189.82,Other Door,47.62,Double,Agent,10,32.0,[1347 1126 1101 1211 1190],0.5,64.8,93.02
170,5,135.4,Key,36.8,Double,Agent,10,27.6,[1081  254  213 1076  237],0.2,52.6,55.2
171,5,141.91,Key,16.49,Double,Agent,10,9.2,[1081  254  213 1076  237],0.5,53.4,79.31
172,5,222.36,Orb,72.36,Double,Agent,10,64.4,[ 587  173  763 1030  154],0.2,75.4,82.56
173,5,182.57,Orb,47.84,Double,Agent,10,33.2,[ 587  173  763 1030  154],0.5,63.8,85.57
174,5,195.14999999999998,Level Door,55.83,SVM,Agent,10,41.2,[425 380 546 415 545],0.0,67.4,86.55
175,5,163.56,Green Door,56.22,SVM,Agent,10,66.0,[752 768 806 607 695],0.0,48.6,48.96
176,5,184.8,Key Door,62.86,SVM,Agent,10,74.8,[1041  936 1063 1076  987],0.0,55.8,54.2
177,5,223.57,Other Door,72.56,SVM,Agent,10,64.0,[1108 1207 1192 1270 1115],0.0,75.8,83.77
178,5,176.23000000000002,Key,56.17,SVM,Agent,10,49.2,[ 816  830 1088 1082  300],0.0,61.6,65.43
179,5,193.44,Orb,64.05,SVM,Agent,10,62.0,[569 177 767 756 597],0.0,65.2,66.24
180,5,221.38,Level Door,73.15,Double,Agent,10,69.2,[422 526 413 592 590],0.2,74.6,77.58
181,5,208.37,Level Door,64.52,Double,Agent,10,52.0,[422 526 413 592 590],0.5,71.4,84.97
182,5,198.68,Green Door,65.39,Double,Agent,10,61.6,[746 708 835 791 829],0.2,67.4,69.68
183,5,176.12,Green Door,44.58,Double,Agent,10,30.4,[746 708 835 791 829],0.5,62.2,83.52
184,5,158.13,Key Door,38.82,Double,Agent,10,26.4,[ 914 1083 1040 1071  892],0.2,58.4,73.33
185,5,132.2,Key Door,3.14,Double,Agent,10,1.6,[ 914 1083 1040 1071  892],0.5,50.6,80.0
186,5,192.60000000000002,Other Door,59.85,Double,Agent,10,49.2,[1239 1260 1291 1101 1270],0.2,67.0,76.4
187,5,183.99,Other Door,40.88,Double,Agent,10,26.0,[1239 1260 1291 1101 1270],0.5,62.4,95.59
188,5,160.46,Key,50.57,Double,Agent,10,44.0,[ 279 1088  263  848  243],0.2,57.0,59.46
189,5,156.79,Key,36.75,Double,Agent,10,24.4,[ 279 1088  263  848  243],0.5,58.0,74.39
190,5,182.8,Orb,55.5,Double,Agent,10,44.4,[ 772 1032 1038  158 1003],0.2,64.4,74.0
191,5,174.39999999999998,Orb,32.0,Double,Agent,10,19.2,[ 772 1032 1038  158 1003],0.5,59.2,96.0
192,5,261.05,Level Door,87.02,SVM,Agent,10,87.2,[377 449 400 557 370],0.0,87.0,86.85
193,5,206.09999999999997,Green Door,64.56,SVM,Agent,10,53.2,[734 635 622 720 605],0.0,70.8,82.1
194,5,203.68,Key Door,68.68,SVM,Agent,10,82.0,[1063  984  876 1027  865],0.0,62.6,59.08
195,5,219.1,Other Door,68.47,SVM,Agent,10,55.6,[1188 1202 1208 1107 1221],0.0,74.4,89.1
196,5,162.78,Key,54.29,SVM,Agent,10,54.4,[ 241  216 1097  298 1055],0.0,54.2,54.18
197,5,220.7,Orb,73.79,SVM,Agent,10,76.0,[750 173 157 165 166],0.0,73.0,71.7
198,5,251.29,Level Door,83.23,Double,Agent,10,78.4,[515 367 523 405 553],0.2,84.2,88.69
199,5,219.47,Level Door,68.0,Double,Agent,10,54.4,[515 367 523 405 553],0.5,74.4,90.67
200,5,205.08999999999997,Green Door,67.38,Double,Agent,10,62.8,[765 704 645 714 669],0.2,69.6,72.69
201,5,188.57,Green Door,56.41,Double,Agent,10,44.0,[765 704 645 714 669],0.5,66.0,78.57
202,5,110.74,Key Door,26.4,Double,Agent,10,18.8,[1017  936 1036  896  851],0.2,47.6,44.34
203,5,101.2,Key Door,2.34,Double,Agent,10,1.2,[1017  936 1036  896  851],0.5,50.0,50.0
204,5,158.54000000000002,Other Door,44.39,Double,Agent,10,33.2,[1112 1131 1175 1348 1280],0.2,58.4,66.94
205,5,165.19,Other Door,24.39,Double,Agent,10,14.0,[1112 1131 1175 1348 1280],0.5,56.6,94.59
206,5,160.51,Key,43.53,Double,Agent,10,31.6,[822 202 283 221 228],0.2,59.0,69.91
207,5,124.91999999999999,Key,13.62,Double,Agent,10,7.6,[822 202 283 221 228],0.5,51.8,65.52
208,5,201.62,Orb,65.79,Double,Agent,10,60.0,[ 187 1333 1049 1300  161],0.2,68.8,72.82
209,5,162.82,Orb,40.47,Double,Agent,10,27.6,[ 187 1333 1049 1300  161],0.5,59.4,75.82
210,5,253.32,Level Door,84.56,SVM,Agent,10,87.6,[425 386 595 584 550],0.0,84.0,81.72
211,5,206.63,Green Door,69.32,SVM,Agent,10,73.2,[784 837 835 617 685],0.0,67.6,65.83
212,5,199.76999999999998,Key Door,67.38,SVM,Agent,10,75.6,[ 879  985 1076 1006  951],0.0,63.4,60.77
213,5,176.26,Other Door,58.27,SVM,Agent,10,56.4,[1282 1173 1275 1304 1257],0.0,59.6,60.26
214,5,163.01999999999998,Key,43.89,SVM,Agent,10,31.6,[ 244  275 1069  238  276],0.0,59.6,71.82
215,5,207.29,Orb,69.38,SVM,Agent,10,71.6,[1301  191  597  166 1031],0.0,68.4,67.29
216,5,230.38,Level Door,76.31,Double,Agent,10,72.8,[472 459 528 403 460],0.2,77.4,80.18
217,5,134.79,Level Door,11.81,Double,Agent,10,6.4,[472 459 528 403 460],0.5,52.2,76.19
218,5,187.64,Green Door,60.14,Double,Agent,10,52.8,[741 764 787 681 726],0.2,65.0,69.84
219,5,187.07999999999998,Green Door,55.44,Double,Agent,10,42.8,[741 764 787 681 726],0.5,65.6,78.68
220,5,149.72,Key Door,43.65,Double,Agent,10,34.4,[1007  920  973  967  850],0.2,55.6,59.72
221,5,152.51,Key Door,14.71,Double,Agent,10,8.0,[1007  920  973  967  850],0.5,53.6,90.91
222,5,196.05,Other Door,59.39,Double,Agent,10,46.8,[1204 1123 1160 1214 1176],0.2,68.0,81.25
223,5,179.34000000000003,Other Door,41.36,Double,Agent,10,26.8,[1204 1123 1160 1214 1176],0.5,62.0,90.54
224,5,146.15,Key,45.07,Double,Agent,10,38.4,[201 330 251 810 207],0.2,53.2,54.55
225,5,118.4,Key,12.86,Double,Agent,10,7.2,[201 330 251 810 207],0.5,51.2,60.0
226,5,208.76999999999998,Orb,67.86,Double,Agent,10,60.8,[1345 1326  796  582  184],0.2,71.2,76.77
227,5,174.44000000000003,Orb,40.49,Double,Agent,10,26.4,[1345 1326  796  582  184],0.5,61.2,86.84
228,5,198.93,Level Door,61.58,SVM,Agent,10,50.0,[528 574 492 555 430],0.0,68.8,80.13
229,5,191.78999999999996,Green Door,60.52,SVM,Agent,10,51.2,[690 719 804 736 693],0.0,66.6,73.99
230,5,189.29000000000002,Key Door,61.54,SVM,Agent,10,56.0,[ 954 1035  944 1041  983],0.0,65.0,68.29
231,5,189.39999999999998,Other Door,61.33,SVM,Agent,10,55.2,[1330 1140 1183 1101 1229],0.0,65.2,69.0
232,5,164.76,Key,56.39,SVM,Agent,10,64.4,[1095 1053  314  298  836],0.0,50.2,50.16
233,5,225.06,Orb,75.25,SVM,Agent,10,90.0,[ 580  587  171  755 1036],0.0,70.4,64.66
234,5,237.62,Level Door,78.92,Double,Agent,10,76.4,[582 585 379 584 351],0.2,79.6,81.62
235,5,195.18,Level Door,52.84,Double,Agent,10,37.2,[582 585 379 584 351],0.5,66.8,91.18
236,5,193.70999999999998,Green Door,62.27,Double,Agent,10,54.8,[832 648 629 744 632],0.2,66.8,72.11
237,5,183.29,Green Door,53.3,Double,Agent,10,40.4,[832 648 629 744 632],0.5,64.6,78.29
238,5,171.84,Key Door,55.77,Double,Agent,10,51.2,[1055  968 1064 1085  856],0.2,59.4,61.24
239,5,140.35000000000002,Key Door,24.5,Double,Agent,10,14.8,[1055  968 1064 1085  856],0.5,54.4,71.15
240,5,187.91,Other Door,57.14,Double,Agent,10,45.6,[1278 1277 1310 1290 1222],0.2,65.8,76.51
241,5,129.8,Other Door,6.87,Double,Agent,10,3.6,[1278 1277 1310 1290 1222],0.5,51.2,75.0
242,5,143.33,Key,26.71,Double,Agent,10,16.4,[204 205 841 288 276],0.2,55.0,71.93
243,5,151.79999999999998,Key,2.37,Double,Agent,10,1.2,[204 205 841 288 276],0.5,50.6,100.0
244,5,158.75,Orb,49.53,Double,Agent,10,42.4,[ 164  778 1347  165  762],0.2,56.8,59.55
