,Recall,Accuracy,Precision,Concept,CPR,NumExp,F1Score,Examples,Encoding,Pattern Complexity,TH,PC
327,17.6,55.8,74.58,Green Door,147.98,5,28.48,[787 608 753 746 786],External,,0.5,10.0
328,24.4,50.2,50.41,Key Door,125.00999999999999,5,32.88,[1004  911  895  853  983],External,,0.2,10.0
329,9.2,50.2,51.11,Key Door,110.51,5,15.59,[1004  911  895  853  983],External,,0.5,10.0
330,22.4,59.8,88.89,Other Door,171.09,5,35.78,[1310 1219 1217 1189 1139],External,,0.2,10.0
331,6.8,53.4,100.0,Other Door,160.20000000000002,5,12.73,[1310 1219 1217 1189 1139],External,,0.5,10.0
332,8.0,49.6,47.62,Key,105.22,5,13.7,[ 320  848 1083  249  338],External,,0.2,10.0
333,1.6,49.0,30.77,Key,81.36999999999999,5,3.04,[ 320  848 1083  249  338],External,,0.5,10.0
334,15.6,56.0,81.25,Orb,152.85,5,26.17,[551 789 175 755 559],External,,0.2,10.0
335,10.0,54.4,89.29,Orb,153.69,5,17.99,[551 789 175 755 559],External,,0.5,10.0
336,52.4,70.8,82.91,Level Door,206.10999999999999,5,64.22,[370 384 408 527 393],Ext+Int,,0.2,10.0
337,34.8,64.6,86.14,Level Door,185.54000000000002,5,49.57,[370 384 408 527 393],Ext+Int,,0.5,10.0
338,24.0,42.8,38.46,Green Door,105.25999999999999,5,29.56,[836 841 797 823 755],Ext+Int,,0.2,10.0
339,1.2,49.4,33.33,Green Door,83.92999999999999,5,2.32,[836 841 797 823 755],Ext+Int,,0.5,10.0
340,15.2,53.6,65.52,Key Door,134.32,5,24.68,[ 983  941 1092  955  941],Ext+Int,,0.2,10.0
